Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,63.500000,64.000000,63.500000,63.500000,60.963200,31318
2017-10-31,63.750000,65.000000,63.750000,64.500000,61.923248,10196
2017-11-01,64.750000,65.000000,64.500000,64.750000,62.163261,20510
2017-11-02,65.000000,65.000000,63.000000,64.500000,61.923248,4201
2017-11-03,65.000000,66.750000,64.500000,66.750000,64.083366,21856
2017-11-06,66.750000,68.500000,66.500000,67.000000,64.323380,19705
2017-11-07,67.000000,68.500000,67.000000,68.500000,65.763451,15616
2017-11-08,68.500000,68.500000,64.500000,66.750000,64.083366,49677
2017-11-09,61.500000,61.500000,57.250000,59.000000,56.642975,435020
2017-11-10,59.750000,63.000000,59.000000,61.500000,59.043102,77737
2017-11-13,63.250000,63.250000,60.000000,60.750000,58.323063,52680
2017-11-14,63.000000,63.000000,59.500000,59.500000,57.122997,12311
2017-11-15,60.000000,60.000000,55.250000,55.750000,53.522808,55959
2017-11-16,56.500000,59.750000,56.500000,57.500000,55.202900,27546
2017-11-17,57.750000,59.500000,57.000000,58.250000,55.922935,16701
2017-11-20,58.250000,59.000000,56.500000,59.000000,56.642975,36877
2017-11-21,59.000000,59.000000,56.750000,58.500000,56.162952,17902
2017-11-22,58.500000,59.750000,57.500000,57.500000,55.202900,48077
2017-11-23,57.000000,57.500000,55.500000,57.500000,55.202900,23662
2017-11-24,57.500000,59.250000,57.000000,58.500000,56.162952,11372
2017-11-27,59.000000,59.750000,57.500000,57.750000,55.442909,66460
2017-11-28,57.750000,57.750000,56.250000,56.250000,54.002838,15133
2017-11-29,56.500000,56.500000,55.250000,55.500000,53.282799,649603
2017-11-30,54.500000,57.750000,53.250000,57.750000,55.442909,45231
2017-12-01,58.750000,58.750000,54.250000,54.250000,52.082733,36307
2017-12-04,56.000000,56.000000,53.000000,54.250000,52.082733,32195
2017-12-05,54.250000,55.000000,53.500000,54.250000,52.082733,8878
2017-12-06,54.250000,54.250000,52.500000,53.000000,50.882671,21673
2017-12-07,53.000000,53.250000,51.000000,52.000000,49.922619,21245
2017-12-08,52.000000,53.500000,51.000000,53.000000,50.882671,31897
2017-12-11,53.000000,53.000000,51.250000,51.750000,49.682610,27281
2017-12-12,51.750000,52.250000,51.000000,51.750000,49.682610,22133
2017-12-13,51.750000,53.750000,50.500000,51.750000,49.682610,468417
2017-12-14,51.000000,54.000000,50.750000,53.750000,51.602711,45339
2017-12-15,54.000000,54.000000,51.000000,52.000000,49.922619,23576
2017-12-18,52.250000,52.750000,50.500000,51.250000,49.202583,30609
2017-12-19,50.500000,52.750000,50.500000,52.750000,50.642662,40443
2017-12-20,52.750000,52.750000,50.500000,50.500000,48.482544,40253
2017-12-21,50.500000,52.500000,50.500000,51.750000,49.682610,26623
2017-12-22,51.250000,51.750000,48.000000,50.000000,48.002518,21998
2017-12-27,50.000000,50.750000,49.400002,50.500000,48.482544,5339
2017-12-28,50.750000,50.750000,49.299999,50.250000,48.242535,21422
2017-12-29,51.000000,52.000000,49.700001,51.250000,49.202583,17069
2018-01-02,51.000000,53.500000,51.000000,53.000000,50.882671,19665
2018-01-03,54.900002,54.900002,52.400002,52.400002,50.306644,19127
2018-01-04,53.900002,53.900002,52.799999,53.500000,51.362698,11831
2018-01-05,54.000000,54.500000,53.500000,53.500000,51.362698,52795
2018-01-08,53.900002,53.900002,52.299999,52.500000,50.402645,24328
2018-01-09,52.200001,53.099998,51.500000,52.900002,50.786667,26009
2018-01-10,52.900002,52.900002,51.500000,52.200001,50.114632,13966
2018-01-11,52.299999,55.000000,52.299999,54.599998,52.418755,36289
2018-01-12,55.000000,55.099998,53.299999,53.900002,51.746719,19251
2018-01-15,54.000000,54.000000,52.299999,53.099998,50.978672,22603
2018-01-16,53.200001,53.200001,51.799999,52.500000,50.402645,12058
2018-01-17,52.500000,52.500000,50.500000,51.299999,49.250587,16308
2018-01-18,52.000000,52.099998,49.799999,51.099998,49.058575,17780
2018-01-19,51.200001,52.500000,50.200001,50.500000,48.482544,28546
2018-01-22,50.500000,50.500000,48.549999,49.400002,47.426491,72373
2018-01-23,49.349998,49.400002,48.500000,49.000000,47.042469,42136
2018-01-24,48.750000,49.950001,47.450001,49.900002,47.906517,51758
2018-01-25,49.900002,49.900002,47.799999,47.799999,45.890408,61450
2018-01-26,47.799999,48.500000,47.500000,47.900002,45.986416,30754
2018-01-29,47.900002,47.900002,45.849998,45.849998,44.018311,18333
2018-01-30,46.000000,46.799999,45.500000,45.650002,43.826305,59991
2018-01-31,45.700001,47.000000,45.700001,46.500000,44.642345,105274
2018-02-01,46.849998,49.900002,46.849998,49.900002,47.906517,271398
2018-02-02,49.900002,51.799999,49.750000,50.400002,48.386539,28809
2018-02-05,50.500000,50.500000,49.099998,49.150002,47.186478,88910
2018-02-06,47.000000,49.599998,47.000000,47.599998,45.698399,50572
2018-02-07,48.049999,49.750000,47.000000,47.400002,45.506390,23576
2018-02-08,47.400002,49.450001,47.000000,47.000000,45.122372,33800
2018-02-09,45.950001,48.549999,45.400002,47.200001,45.314381,18584
2018-02-12,47.000000,49.299999,47.000000,48.049999,46.130421,11875
2018-02-13,46.500000,48.500000,45.700001,45.700001,43.874306,18393
2018-02-14,45.799999,46.950001,45.400002,45.500000,43.682297,9411
2018-02-15,46.400002,49.400002,46.400002,48.250000,46.322433,60468
2018-02-16,49.400002,52.200001,48.299999,51.700001,49.634609,112827
2018-02-19,51.900002,52.900002,51.000000,51.000000,48.962570,59239
2018-02-20,51.000000,52.599998,51.000000,52.000000,49.922619,81154
2018-02-21,52.700001,53.799999,52.099998,52.200001,50.114632,25760
2018-02-22,52.900002,53.599998,51.900002,53.099998,50.978672,262215
2018-02-23,53.500000,55.500000,53.200001,53.500000,51.362698,105964
2018-02-26,54.000000,55.000000,54.000000,54.599998,52.418755,57987
