Target,Stoploss
2,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
134.4,50.60034,67.94447,False,2,
133.6,57.32143,67.89545,True,4,
132.8,60.52141,69.26942,True,3,
135.2,59.92439,76.66135,True,2,
135,62.52466,81.52374,True,1,
141,64.76579,100,False,2,
143.8,59.48104,100,False,1,
135.8,19.62962,100,True,1,
140,29.77347,78.66801,False,1,
137.2,32.05575,60.96692,True,3,
136.6,33.67347,54.45789,True,2,
138,40.96385,54.15621,True,1,
142,37.39837,58.21144,True,1,
147.8,46.93878,70.42768,True,1,
156.8,33.16581,83.30722,False,1,
153.4,25.83333,74.02746,True,6,
155,29.64427,69.78318,False,3,
155.6,30.12048,67.65408,False,2,
155,29.48207,65.44752,False,1,
152.8,34.37501,60.82856,True,2,
152.8,39.81901,61.79868,True,1,
157.4,26.51935,69.63016,True,1,
165,26.22952,69.70586,False,1,
161,16.42512,59.56247,True,3,
160.4,22.76788,55.73394,True,1,
164,24.54548,60.3852,True,9,
164.8,24.77067,58.87951,False,7,
165,27.97929,58.47757,False,6,
164,36.24163,56.54256,True,6,
164.6,30.65694,57.6522,True,5,
163.6,31.81819,54.26614,True,4,
165,35.07463,57.85541,False,2,
163.8,31.88406,54.0499,True,2,
163,29.32332,50.17947,True,1,
176.2,31.38687,94.97094,True,4,
178,23.8889,100,False,1,
175.8,28.47683,97.57164,True,2,
177,23.94366,97.1949,True,6,
180.4,21.3793,93.18233,False,1,
178.4,21.52777,78.5953,False,2,
179,27.33334,74.64466,False,1,
176.4,26.97368,61.24245,True,2,
178,30.62501,61.32002,True,1,
183.6,29.69698,72.39056,True,2,
183.6,23.40426,67.00755,True,1,
192.6,24.30939,82.99689,False,2,
192.6,17.27274,74.65003,False,1,
190.2,15.74075,67.46002,False,1,
187.8,28.39508,58.64292,False,1,
184.8,35.15151,51.46598,True,1,
188.8,36.6864,60.05708,False,1,
186.6,33.87978,54.33387,False,1,
184.4,41.24292,47.26813,True,7,
185.2,41.57304,49.05142,True,6,
