Target,Stoploss
1,1
Price,RSI.cs,RSI.cs,IsValid, TimeToValidate
0.148438,77.53639,77.53639,True,1,
0.151228,79.33337,79.33337,True,2,
0.151786,76.15918,76.15918,True,1,
0.15346,71.96987,71.96987,False,2,
0.152902,80.50815,80.50815,False,1,
0.15067,82.75943,82.75943,True,2,
0.149554,82.60925,82.60925,True,1,
0.15346,76.4711,76.4711,False,1,
0.151228,60.86957,60.86957,False,1,
0.147879,50.9091,50.9091,True,1,
0.149554,62.9642,62.9642,False,3,
0.15067,57.40693,57.40693,False,2,
0.150112,54.54515,54.54515,False,1,
0.142299,59.61472,59.61472,False,1,
0.135045,60.37802,60.37802,True,2,
0.136161,73.76986,73.76986,True,1,
0.137835,72.58015,72.58015,True,1,
0.139509,72.58015,72.58015,True,1,
0.146763,68.74982,68.74982,True,1,
0.166295,54.79541,54.79541,False,1,
0.162388,35.8494,35.8494,True,1,
0.169643,42.45359,42.45359,True,1,
0.175781,35.65295,35.65295,False,1,
0.154576,29.16705,29.16705,False,1,
0.141741,47.09697,47.09697,False,1,
0.136719,54.54565,54.54565,True,2,
0.136719,56.52178,56.52178,True,1,
0.142857,52.94099,52.94099,False,1,
0.141183,45.8336,45.8336,False,1,
0.134487,47.33744,47.33744,False,1,
0.131138,51.68529,51.68529,True,1,
0.142857,54.14386,54.14386,False,2,
0.143415,51.85171,51.85171,False,1,
0.140625,63.22605,63.22605,True,1,
0.145089,62.74494,62.74494,False,1,
0.108259,64.86536,64.86536,True,1,
0.111049,79.80314,79.80314,False,1,
0.104911,72.94155,72.94155,False,1,
0.102121,70.88626,70.88626,True,2,
0.101563,70.1301,70.1301,True,1,
0.103237,70.3228,70.3228,False,2,
0.103237,74.1497,74.1497,False,1,
0.102121,73.61118,73.61118,False,1,
0.100446,71.64197,71.64197,False,1,
0.09933,70.99258,70.99258,False,1,
