Price,AxisX,AxisY,IsValid
0.063058,52.94055,0,False,
0.0625,55.55444,0,True,
0.063058,58.33168,0,False,
0.063616,63.63342,0,False,
0.064174,69.99939,0,False,
0.064174,65.51534,0.2258842,False,
0.063616,76.00172,12.62618,False,
0.0625,83.33458,18.72905,False,
0.0625,83.33458,23.49731,False,
0.061384,80,25.32563,False,
0.0625,78.94736,39.18654,False,
0.060268,75.00002,26.35486,False,
0.058594,73.68422,19.72264,False,
0.058594,75.00001,23.53632,False,
0.058036,72.22223,23.1397,False,
0.05692,72.22224,18.89609,True,
0.057478,78.94736,24.65017,True,
0.05971,78.94739,42.22266,False,
0.05971,68.18181,43.82364,False,
0.05971,68.18181,46.9942,False,
0.05971,66.66667,49.56339,False,
0.058594,63.1579,41.90621,False,
0.057478,66.66667,32.46498,True,
0.057478,66.66667,34.87814,True,
0.05971,73.68421,59.45338,True,
0.061384,52.63158,81.05625,False,
0.061384,36.8421,86.32894,False,
0.059152,36.8421,47.82624,False,
0.058594,45.45454,31.63489,False,
0.05692,42.85714,0,False,
0.05692,52.17391,0,False,
0.056362,63.1579,0,False,
0.053571,65,0,False,
0.051339,72.002,0,False,
0.051339,75.86356,0,False,
0.049107,74.07579,13.71778,True,
0.050781,75.86356,30.98495,True,
0.051897,68.75175,39.13489,True,
0.055246,73.33492,58.5938,True,
0.055804,66.66486,63.72955,True,
0.05692,64.70433,72.46992,True,
0.059152,56.2493,90.7187,True,
0.05971,48.57158,100,True,
0.063616,42.42507,100,False,
0.063616,35.00134,100,False,
0.064174,33.33486,100,False,
0.063058,22.85597,100,False,
0.060268,18.18084,100,False,
0.060268,28.946,100,False,
0.057478,20.58714,49.79467,True,
0.05971,33.33167,56.56648,True,
0.060268,31.57745,55.8955,True,
0.061942,36.36364,59.40974,False,
0.058036,34.28571,37.68537,False,
0.057478,47.5,33.28162,False,
0.055246,54.05406,16.83199,False,
0.054688,60,8.093468,True,
0.055246,73.52942,9.130198,True,
0.058594,71.42858,51.8956,True,
0.059152,62.49999,63.31055,True,
0.058594,58.97435,56.74743,True,
0.058594,54.28571,59.3162,True,
0.05971,54.28571,82.47179,True,
0.063616,43.75,100,True,
0.063616,40,100,True,
0.064174,41.17647,100,True,
0.065848,43.75001,100,True,
0.068638,25,100,True,
0.071987,18.75,100,True,
0.077009,5.88205,84.77825,True,
0.079241,2.380844,75.41145,False,
0.075335,2.22213,62.30015,True,
0.076451,17.39062,61.20931,True,
0.080357,17.02062,66.08546,False,
0.078125,13.20709,60.15784,True,
0.081473,19.29763,66.73931,False,
0.082031,18.03225,66.47255,False,
0.077567,19.99934,55.187,True,
0.080357,30.15785,59.54672,False,
0.078683,28.35744,54.53051,True,
0.080915,32.83494,60.57267,True,
0.081473,33.33242,62.48387,True,
0.084263,36.06557,71.35861,False,
0.083705,38.59649,66.47774,False,
0.080915,42.59259,53.90099,False,
0.079241,40.38462,43.46499,True,
0.079799,45.28302,44.47531,True,
0.081473,51.06384,54.01496,True,
0.083705,43.47826,65.41018,False,
0.083705,45.45454,64.50552,False,
0.080915,46.51162,44.86143,True,
0.080915,42.50002,41.73749,True,
0.082031,48.57144,51.39435,True,
0.082031,41.17647,49.26024,True,
0.081473,46.66667,40.72981,True,
0.082589,50,57.6895,True,
0.083705,55.55555,89.34135,True,
0.084263,50,100,True,
0.090402,37.49999,100,True,
0.097656,18.74895,100,True,
0.104911,13.63581,100,True,
