Price,AxisX,AxisY,IsValid
9,76.4094,38.83928,False,
8.8,48.04428,40.65421,False,
8.8,46.72675,37.74509,False,
8.69,28.66069,38.69347,False,
8.8,41.78424,44.89796,False,
8.78,38.02179,50,False,
8.47,0,56.96203,False,
7.65,27.75817,63.04347,False,
7.28,36.99051,73.74517,False,
6.3,25.51106,75.53956,False,
6.3,26.22274,90.32259,False,
5.2,8.253302,90.85545,True,
5.85,20.98909,93.0337,False,
5.58,15.29773,80.28747,False,
5.52,16.36719,84.61537,False,
5.04,14.27879,84.16666,False,
4.79,26.53539,85.60605,False,
4,14.04894,85.97785,True,
4.63,22.47971,89.34426,False,
4.52,17.14456,80.924,False,
4.69,16.50969,80.33794,False,
4.8,29.05181,75.25597,False,
4.45,37.78058,72.14285,False,
4.38,44.4249,68.61167,False,
4.52,46.93399,69.04762,False,
4.3,44.01525,58.33333,False,
4.11,41.09617,71.23287,True,
4.05,40.16379,70.58823,True,
4.05,40.505,70.58823,True,
4.9,58.72765,66.01941,True,
5.42,74.03765,48.50948,False,
5.9,90.08928,29.23977,False,
5.95,98.75607,30.58104,False,
5.9,100,27.72585,False,
5.71,100,30.42071,False,
5.27,100,35.64668,True,
5.5,100,37.42331,False,
5.32,68.87762,33.62572,False,
5.85,93.21717,38.4393,False,
5.42,61.7952,29.44297,False,
5.6,66.47546,33.66583,False,
4.87,29.56269,31.23486,False,
4.96,30.14159,41.56379,False,
5.18,36.31199,49.26829,False,
4.85,20.39742,53.1579,False,
4.38,0,64.38358,False,
4.38,0,69.28748,False,
4.03,0,68.90548,False,
4,0,70.0957,False,
3.9,0,66.84351,False,
3.8,2.655381,71.97803,False,
3.78,9.591712,71.34833,False,
3.46,12.10706,83.93443,False,
3.6,30.42482,83.33334,False,
3.5,29.86969,84.48277,False,
3.5,33.71601,80.17622,False,
3.4,31.58821,83.48625,False,
2.95,22.74509,93.20389,False,
2.95,27.26973,93.57799,False,
2.95,34.31856,91.81287,False,
2.91,37.36637,91.81287,False,
2.65,38.64013,90.00001,False,
2.45,35.58218,91.41105,True,
2.33,33.82387,91.90752,True,
2.65,42.72818,92.00001,True,
2.95,51.46156,77.56097,True,
2.94,52.37192,62.56158,True,
3.24,63.60209,67.36842,False,
3.07,59.56924,56.19047,True,
3.25,69.58429,59.47136,False,
3.51,86.95357,53.19149,False,
2.5,43.36625,37.03704,False,
1.51,29.80845,57.09779,False,
1.32,37.11761,67.30769,False,
1.27,40.38155,68.44548,False,
1.25,42.44357,66.82927,False,
1.14,40.54473,65.30612,True,
1.23,42.8721,65.21739,True,
1.27,44.31018,69.29348,True,
1.36,46.82698,74.5614,True,
1.4,48.58649,72.57143,True,
1.65,56.42818,78.39506,True,
1.74,60.58122,71.38554,True,
2.1,79.56011,73.37461,False,
2.03,85.37724,71.17117,True,
2.25,100,59.83264,False,
2.05,100,27.16049,True,
2.05,100,27.60737,True,
1.96,100,25.31646,True,
2.17,100,28.48484,True,
2.35,100,20.57142,True,
2.56,100,19.56522,True,
2.54,100,17.91044,True,
2.62,100,19.58762,True,
2.83,88.67857,19.19192,True,
2.98,78.25574,19.58762,True,
3.17,74.50667,19,False,
