Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
35.5,22.58064,100,True,1,
36.125,22.58064,100,True,2,
36.375,21.21213,94.45129,False,4,
36.5,20,83.8306,False,2,
36.625,25,78.54974,False,1,
36.125,25,63.98813,False,3,
35.875,34.37499,55.29317,False,2,
36,38.23529,57.04378,False,1,
35.25,31.25,38.44849,False,2,
35,42.10526,30.99376,False,1,
34.5,48.64865,13.47307,True,1,
34.875,53.65854,20.8524,False,1,
33.875,45,0,True,2,
34,60.46512,0,True,1,
34.5,65,0,False,7,
34.75,66.66667,0,False,6,
34.625,66.66667,0,False,5,
34.5,69.23077,14.03483,False,4,
34.625,71.79488,35.83138,False,3,
34.5,66.66667,38.28074,False,2,
34.625,65.71429,47.84335,False,1,
33.875,65.71429,31.68633,False,2,
33.875,65.71429,33.966,False,1,
33.5,63.63636,24.64431,True,1,
34.375,62.5,49.4853,False,4,
34.5,55.55556,54.54652,False,3,
34.375,41.37931,49.14895,False,2,
34.5,44.82759,52.17947,False,1,
33.75,50,17.82958,False,1,
32.875,63.33333,0,True,2,
32.875,69.44444,0,True,1,
34.25,68.57143,56.88445,False,1,
33.125,53.33333,0,False,3,
33.125,60.37736,4.081283,False,2,
33,61.53846,11.39811,False,1,
32.625,57.44681,0.6722934,False,1,
31.5,60,0,True,2,
31.625,64.28571,0,True,1,
32.75,72,29.73338,True,1,
33.375,62.06896,53.21041,False,2,
33.25,56.45161,50.45425,False,1,
32.5,58.06452,36.9483,False,1,
31.375,58.06452,15.34229,False,1,
30.875,59.375,13.26072,False,1,
29.25,61.76471,7.446179,True,4,
29,78.57143,16.81988,True,1,
29.5,76.19048,28.43062,True,2,
29.25,71.64179,27.17607,True,1,
30.625,72.05882,45.94931,True,1,
31.25,60.52631,55.22956,False,2,
31.125,51.38889,53.85684,False,1,
30.125,52.77778,38.17915,True,3,
30.125,64.78873,39.30097,True,2,
30.125,69.69697,40.58735,True,1,
30.5,69.23077,50.87747,True,1,
31.75,62.90322,82.30966,False,1,
31.25,47.61905,76.64091,False,2,
31.125,47.61905,79.88754,False,1,
29.75,35.29411,26.63453,True,4,
29.625,45,5.656033,True,3,
29.5,49.12281,0,True,2,
29.5,48.21429,0,True,1,
30.5,60,63.32376,True,1,
31.375,56.25,100,False,3,
31.375,48.14815,100,False,2,
31.375,39.13043,100,False,1,
31,39.13043,100,True,1,
31.875,42.85714,100,True,2,
31.875,39.62264,100,True,1,
32.5,48.83721,100,True,1,
32.875,38.63636,100,True,6,
32.75,34.78261,100,True,5,
33,16.66667,91.34155,True,4,
33,13.51351,73.91582,True,3,
32.875,11.11111,62.3102,True,2,
32.875,13.51351,57.34633,True,1,
33.5,17.24138,62.79731,True,1,
34.625,18.51852,75.91145,False,1,
34.25,13.88889,69.67744,False,4,
34.375,20.51282,70.006,False,3,
34.375,13.51351,68.71147,False,2,
34.375,16.66667,68.14787,False,1,
33.75,16.66667,58.39668,True,1,
34.125,33.33334,62.64834,False,2,
34.125,33.33334,63.03152,False,1,
33.75,31.03448,53.50615,True,2,
33.75,40,52.2854,True,1,
34.5,40,72.24982,True,2,
34.5,31.42857,66.10143,True,1,
35.25,31.42857,80.39616,False,2,
35.125,30.55556,70.61819,False,1,
34.75,42.85714,61.86708,False,1,
34.25,42.85714,46.72213,False,4,
34.125,51.6129,42.04826,False,3,
34,53.125,36.53468,False,2,
34.125,54.54546,40.88901,False,1,
33.375,44.82759,0,True,1,
33.875,59.375,21.87502,False,3,
33.75,52.77778,7.269859,False,2,
33.875,50,9.814846,False,1,
33.25,48.57143,0,True,6,
33.375,64.70589,0,True,5,
33.375,62.85714,0,True,4,
33.375,75.86207,2.951433,True,3,
33.25,75,20.13725,True,2,
33.5,73.07692,42.91468,True,1,
33.875,62.5,61.3133,True,1,
34.625,53.84615,100,True,1,
35.25,41.93548,100,False,1,
34.75,37.14285,100,False,1,
34.25,33.33334,78.58439,False,2,
34.375,45.45454,91.97446,False,1,
33,42.42424,0,True,2,
32.875,58.13953,0,True,1,
33.375,53.84615,0,False,1,
32.625,50,0,True,1,
33.25,56.25,0,True,5,
33.25,50.9434,0,True,4,
33.5,50,0,True,3,
33.5,50,0,True,2,
33.5,53.06122,0,True,1,
34.25,60.46512,100,False,1,
33,59.09091,0,False,2,
33.125,64,36.48553,False,1,
32.25,59.57447,2.074973,False,1,
31.625,66.03773,0,True,2,
31.875,61.70213,0,True,2,
32.125,58.33334,10.53461,True,1,
32.75,60.86956,38.55249,True,4,
33,48.88889,46.58091,False,6,
32.75,52.38095,37.45906,True,2,
32.875,54.54545,43.38017,True,1,
33.25,55.81395,65.56237,False,3,
33.125,52.17391,61.1103,False,2,
33,53.19149,57.46802,False,1,
32.375,61.90476,39.07829,False,2,
32.375,56.75676,40.09381,False,1,
32,58.33334,23.19535,True,2,
32,53.125,26.59155,True,1,
32.375,44.44444,41.45203,False,2,
32.25,42.85714,30.14814,False,1,
31.625,48.14815,0,False,2,
31.375,66.66667,0,False,1,
31,74.07407,0,True,3,
31.25,75,10.23126,True,3,
31.125,72.4138,15.32954,True,1,
31.5,81.48148,36.36534,False,2,
31.625,72.4138,42.73608,False,1,
31.125,68.96552,26.62911,False,3,
30.875,67.85715,19.18549,False,5,
30.875,70,21.90305,False,4,
30.625,66.66667,14.5668,False,4,
30.875,68.96552,29.5874,False,2,
30.625,71.42857,27.76125,False,2,
30.375,72.4138,31.76754,False,2,
30.125,69.23077,29.33739,False,1,
29.5,69.23077,18.03535,False,1,
28.875,71.42857,5.833131,False,2,
28.625,80.64516,13.15629,False,1,
26.25,81.25,0,True,1,
27.375,93.75,24.36279,False,2,
27.375,80.35715,30.75794,False,1,
26.25,78.84615,22.30129,False,1,
25.875,81.35593,26.59986,False,1,
24.875,82.25806,22.98295,False,1,
24.625,83.82353,23.59619,False,1,
24,86.76471,21.36607,False,1,
23.5,87.32394,19.22618,True,1,
24.625,87.67123,35.53309,True,1,
25.875,77.5,48.23964,False,1,
24.25,67.05882,36.94232,True,1,
25.25,69.89247,46.69239,False,3,
25.25,63.63636,48.10391,False,2,
25.125,55,47.28611,True,3,
24.875,62.5,46.81157,True,2,
24.875,63.51352,48.90966,True,1,
25.5,58.46154,58.77101,False,3,
25.25,52.23881,56.91816,True,4,
25.25,47.54099,57.7879,True,3,
25,45.76271,52.72549,True,1,
25.5,42.85714,67.94671,True,1,
26.5,35.71429,100,False,1,
25.875,36.36364,97.83465,True,3,
26.125,50,100,True,2,
26.125,30.76923,100,True,1,
27.375,38.70967,100,False,1,
26.625,29.2683,100,False,2,
26.5,36.95652,94.20401,False,1,
25.875,35.55556,55.50573,True,1,
26.375,42,64.4629,True,1,
27.125,42.85714,78.36787,False,1,
26.25,35.84906,49.79978,True,5,
26.25,43.33333,46.65969,True,4,
26.5,41.37931,50.42219,False,1,
26,42.85714,35.57161,True,2,
26,53.84615,35.04012,True,1,
27.125,48.93617,69.16267,True,1,
27.75,42.59259,83.81649,True,4,
28,38.98305,87.18909,False,2,
28,45.09804,87.71426,False,1,
27.625,37.77778,75.00115,True,1,
28.25,40.42553,90.06883,False,2,
28,29.78723,79.69468,False,1,
27.375,35.55556,53.90215,True,1,
